subject,total_questions,correct,wrong,study_time,difficulty,current_net,target_net,predicted_net
curriculum studies,34,0,34,48,0.7308764598665648,-8.5,3.758813030258505,0.0
linguistics,15,1,14,88,0.9744350562270004,-2.5,10.736794603189493,0.8754097238161906
geography,47,1,46,178,1.2144862137262717,-10.5,6.633763700930878,0.0
materials science,36,1,35,137,1.1728168569373818,-7.75,0.20979620556335377,0.0
meteorology,30,28,2,16,0.6728283454733572,27.5,40.51380368189706,25.505736407537544
medicine,26,24,2,34,0.6988581208339057,23.5,38.13499318105475,25.01547515703666
creative writing,47,32,15,224,0.772847323832155,28.25,36.83759450771678,41.968047652173695
mobile development,26,20,6,176,0.6632058719417503,18.5,36.103450238223786,27.987294822062513
history,41,17,24,197,0.7781681949279464,11.0,21.199037539589035,24.75932537066398
physical chemistry,19,17,2,217,1.036145614962109,16.5,33.02493446395835,20.60127560414979
trigonometry,41,19,22,184,1.2820956096321654,13.5,29.58505245646814,20.424048069045664
early childhood education,47,0,47,58,0.5241759202899626,-11.75,-4.909514966616033,0.0
communication,42,25,17,49,1.3742303998832837,20.75,32.08275761394113,19.668542153872394
genetics,10,7,3,57,1.4864607002920334,6.25,13.230398773488286,6.664535503981449
astrophysics,24,24,0,232,0.770343603570483,24.0,35.875256009569526,33.94326357088499
economics,37,10,27,175,1.3104209799013498,3.25,8.883149266150332,7.015202692317008
database systems,33,4,29,127,0.7296022223759462,-3.25,7.766697579780049,1.1720477701229228
anatomy,21,12,9,218,0.8253060852514631,9.75,18.47995290574449,22.032511449765163
communication,30,30,0,78,1.2463079735909606,30.0,47.65096260697127,32.60657050453587
law,39,3,36,183,1.3779108839677816,-6.0,9.492670220819447,3.076797826368063
accounting,10,6,4,175,1.3941824316994094,5.0,21.75296457770367,9.030627540580348
curriculum studies,45,45,0,111,1.1866476533362855,45.0,64.5777036005817,47.62396749843836
optics,12,11,1,17,0.7383114759078705,10.75,30.329708442456116,9.009798404629354
physics,44,38,6,141,0.7623316709765218,36.5,47.10156377821274,41.06711511036804
calculus,13,11,2,146,0.6709820516690126,10.5,20.98953021662595,16.135939992443138
foreign languages,14,0,14,76,1.38049251983073,-3.5,13.351793687328364,0.0
fashion design,17,1,16,199,0.9137733133778938,-3.0,9.848167023720173,4.754425376573527
music history,33,33,0,228,0.844180527564246,33.0,52.99379775781554,42.918690746399385
biochemistry,14,7,7,81,1.3434913534221289,5.25,15.042477091220162,5.016341020089149
optics,20,19,1,202,0.9118068652367931,18.75,28.26684033032378,26.258579994458742
cosmology,15,0,15,69,1.435484180199571,-3.75,1.4598624432223684,0.0
software engineering,40,28,12,195,0.9522611107644525,25.0,30.71526697697423,33.65250409788954
chemistry,22,14,8,137,1.142121957867498,12.0,27.20455691966793,19.23857351902023
public health,45,12,33,240,1.1881593518097402,3.75,14.587050324437254,10.71560198650978
translation studies,44,3,41,72,0.7268175134847915,-7.25,8.988333399917689,0.0
theater,21,19,2,73,1.3604128733265868,18.5,37.34440636113737,19.49001762687654
astronomy,44,8,36,233,1.2898329598995044,-1.0,17.234204194877478,7.008681185658254
oceanography,27,24,3,15,0.9304991025607716,23.25,35.28739835389517,21.625986550744585
cyber security,23,23,0,59,0.9377868907401333,23.0,39.76011166399059,24.94030669957065
education,21,5,16,81,1.0796211952946597,1.0,6.817561125677065,0.5605750310061492
linear algebra,32,16,16,175,1.3962252730144558,12.0,23.97098186008172,16.865377739311253
literature,38,26,12,223,1.1968327929371338,23.0,33.0077053432735,35.445515887582275
organic chemistry,31,30,1,221,0.619901197220892,29.75,48.08017517196905,36.36043082802933
sociology,45,23,22,239,1.4920592819236265,17.5,31.562671287192135,28.194220991776483
mobile development,36,10,26,30,1.3630523218609252,3.5,8.654362249882475,1.7662655969193395
electromagnetism,29,10,19,188,1.0670776999535834,5.25,17.829798664150736,12.681609535636564
management,12,4,8,46,1.2590754959503738,2.0,7.551718378332756,1.3719277676809156
urban planning,27,22,5,145,1.3800451063025196,20.75,39.936087634221444,27.49335985854733
special education,31,23,8,20,0.9174867662317537,21.0,35.15947902727992,18.91019135665037
astrophysics,13,12,1,81,0.7304301242580763,11.75,29.47163308616048,14.467237055800066
anatomy,40,37,3,88,0.8801759447070254,36.25,46.982613476039674,39.6474348491603
entrepreneurship,25,14,11,11,0.8279279633824016,11.25,17.349107746848645,11.146161240327661
public health,40,5,35,64,1.3450105667837717,-3.75,8.464944860293265,0.0
linear algebra,33,28,5,48,0.5345231582497527,26.75,43.31132940828218,29.435873517305644
machine learning,20,3,17,186,0.5179345153677597,-1.25,18.227361303766244,2.109054954369352
organic chemistry,19,12,7,170,0.7486483504434341,10.25,23.435832461570037,20.954954999977353
game development,41,4,37,15,0.8961348885386663,-5.25,11.099964814974413,0.0
compiler design,10,7,3,51,1.274590448825202,6.25,15.419670736469257,8.576238504032084
special education,23,19,4,43,1.0422384762476682,18.0,24.022579676775674,17.659358597007373
statistics,11,10,1,14,0.6397162936858999,9.75,16.871470038954058,8.257652348541457
public health,31,25,6,175,1.080453322872861,23.5,42.679506027997746,26.076764876661326
web development,43,18,25,17,0.7680412895553088,11.75,20.336075944907115,11.30774116899235
astronomy,34,19,15,85,0.8353885365997122,15.25,26.693372491826715,16.343654247020748
education,19,16,3,105,1.0262371213912518,15.25,22.828613251399823,16.588570125509175
software engineering,24,18,6,173,1.0546705489960027,16.5,33.411753258120115,23.52195717977084
artificial intelligence,30,11,19,85,1.3628984348209914,6.25,18.05071383396258,8.03264244392399
robotics,40,21,19,81,0.6299736196238204,16.25,23.229541191428257,19.263859667987052
political science,45,29,16,102,0.8579625151803351,25.0,41.47057761683685,30.980039867951735
statistics,28,22,6,48,1.3131466774795224,20.5,29.177895473993615,20.032679297811192
game development,42,17,25,68,1.3925581244871648,10.75,22.05523711502871,8.966810527134207
finance,25,15,10,189,1.184843002910515,12.5,23.9810390976071,15.404719340382828
music theory,33,0,33,97,0.7138196209604479,-8.25,-1.8359628357674467,0.0
psychology,38,17,21,52,0.7777193690983513,11.75,19.52756419022233,11.422015018208832
journalism,29,15,14,181,1.4049122688686753,11.5,21.13140199479603,18.77504871616558
education,46,10,36,30,0.6140761722218382,1.0,7.2527443700197685,1.3222189649654021
nutrition,26,7,19,28,1.4075658690928528,2.25,16.265113304514323,0.5781335375307535
optics,18,12,6,10,0.7882386014249783,10.5,26.53096297268692,8.096391164681
finance,37,23,14,132,1.4639044536525214,19.5,29.94983642430682,23.994107892224385
thermodynamics,36,15,21,35,0.6386779202681162,9.75,20.886011121965687,11.23486216073399
veterinary science,20,14,6,204,0.9423888264906982,12.5,24.000006338305717,17.850757379025936
philosophy,14,3,11,67,1.3117084919479605,0.25,18.327379370513047,0.7690254516237474
web development,36,25,11,225,0.8099374568814558,22.25,29.01074955497507,31.785316239982546
music theory,17,17,0,130,0.508173407700549,17.0,31.776089330845334,23.249010183313906
theater,36,17,19,66,0.6034352789284992,12.25,26.008646758902373,13.974658645146675
supply chain,33,32,1,23,1.089344471067466,31.75,38.5523891353202,31.493417009432605
film studies,23,14,9,67,1.2288130554349364,11.75,21.72992420395553,13.068828550245327
robotics,45,31,14,66,1.3525489405235054,27.5,32.65825417427585,24.948860025169942
fashion design,39,7,32,75,0.54980795394254,-1.0,4.265882864282306,2.036321428821241
nutrition,36,6,30,147,0.6768137961817053,-1.5,9.247909004187488,6.099699689928303
journalism,37,13,24,65,1.2325275885076383,7.0,17.594483227292052,8.18534073730067
robotics,35,3,32,127,0.6640078394690613,-5.0,11.021922517290395,1.8875003357675613
biology,44,24,20,99,1.4969735869804621,19.0,29.760566618320098,21.70867689749118
algebra,29,22,7,217,0.6101749437101176,20.25,32.02804079063165,34.243883566136475
music history,20,4,16,111,1.0131826729180808,0.0,16.509500637297233,0.3646279032309234
genetics,17,0,17,27,1.3766786482784583,-4.25,9.298317615588154,0.0
sociology,49,6,43,161,0.5895925370184251,-4.75,7.539473396312651,0.0
biochemistry,44,29,15,129,0.890976677470714,25.25,37.94128582997405,29.341936517263285
veterinary science,12,3,9,235,0.6075305928977313,0.75,19.203547008593965,10.650767320963945
translation studies,11,0,11,215,0.6722505979113564,-2.75,6.314780480959895,7.8689183094571025
sociology,40,6,34,78,0.6213299217969988,-2.5,7.235910890532015,0.0
political science,34,10,24,228,0.77453176880903,4.0,23.77069795917718,12.87546912128652
statistics,18,2,16,11,0.8619935669414114,-2.0,11.251580062326946,0.0
robotics,14,12,2,87,0.8548560975130282,11.5,25.419688299022322,14.555154523195887
translation studies,15,13,2,223,0.6452137759414098,12.5,20.14177284366346,17.551007636809352
machine learning,11,11,0,221,1.4765259822994237,11.0,22.154405838352908,15.296222821893625
organic chemistry,15,9,6,36,1.0367691575243536,7.5,16.39843113953141,9.645328222959773
artificial intelligence,42,13,29,42,1.0953002049286842,5.75,12.990742632017879,6.899012356256955
biochemistry,47,10,37,37,1.2428792989557795,0.75,13.778841795779849,0.0
quantum physics,19,7,12,113,0.5779007412249979,4.0,22.558360721025537,9.716769594391426
creative writing,47,6,41,231,0.5038604068137381,-4.25,5.214468108178094,3.9507064976609523
translation studies,15,3,12,137,1.2607044520489756,0.0,14.531129113432593,2.3518167643256738
networking,27,26,1,193,0.820240583266824,25.75,31.83657033132954,34.12989247947074
film studies,36,1,35,102,1.1598196045588351,-7.75,1.978535850385363,0.0
geography,13,10,3,66,1.4544264282134605,9.25,16.10693481046342,9.40555199101467
music theory,22,7,15,177,0.9710042306494517,3.25,17.948087584221543,9.21152712953283
calculus,12,5,7,158,1.4658286687240438,3.25,11.174517987697342,11.438184641484792
cyber security,33,3,30,222,0.655454762902484,-4.5,9.965313243244129,7.249369027104641
game development,44,21,23,152,0.9531838334385814,15.25,25.667101242941037,22.695301087393883
curriculum studies,49,20,29,212,1.1298479898939484,12.75,29.45772404839355,25.320895045145463
classical mechanics,46,24,22,200,0.6849734842932961,18.5,23.884961429374222,31.359600255970875
marketing,12,5,7,105,1.0042886740949974,3.25,11.915029825078326,8.465972212491263
machine learning,36,33,3,136,1.4529350143642148,32.25,39.42333374804796,35.55938682846371
creative writing,22,9,13,176,1.244093268400115,5.75,20.896389573160064,14.46551742010589
computer science,32,8,24,144,1.402158869368443,2.0,9.419058175405146,7.489401626766806
pharmacology,14,0,14,227,1.0629812137973067,-3.5,13.53683967534598,1.2424223745182394
environmental science,36,17,19,91,0.5764555685259934,12.25,29.639291121795942,16.005204612592212
curriculum studies,30,6,24,99,1.101037504948937,0.0,15.438979396091543,1.8668885562212432
medicine,24,23,1,52,1.4037715083355704,22.75,41.12907098123151,25.194430384062457
computer science,33,18,15,77,1.258968823745832,14.25,26.978978255667386,17.947337263074168
trigonometry,16,6,10,152,0.7838304471232135,3.5,22.186984202529217,8.090133373362201
earth science,47,19,28,15,1.3470546251519773,12.0,22.564150651474424,8.552943189428575
history,25,25,0,222,1.0764158544209566,25.0,43.908615745600954,38.946940166693246
creative writing,41,23,18,55,0.5736300179250645,18.5,23.50232135640414,19.908788413371465
organic chemistry,27,19,8,231,0.9261220897907367,17.0,23.78580699120248,28.01794331534979
cyber security,13,2,11,14,0.9411810751016795,-0.75,14.046238473502184,0.0
marketing,24,6,18,196,1.0817974466377722,1.5,16.432961682701276,12.887707837803042
special education,48,24,24,229,1.3871107197745638,18.0,28.5656896353263,31.816480855389806
business administration,25,19,6,69,1.029662790010728,17.5,37.19046345605704,20.16401659553374
veterinary science,33,33,0,64,0.7930392120389348,33.0,42.012981713067205,36.50623297155457
computer science,16,3,13,15,0.9801064258812988,-0.25,9.789776204167067,0.0
industrial design,35,19,16,219,1.0421275410613258,15.0,20.371578219979483,26.09881694594519
dentistry,18,11,7,174,1.0937377363900593,9.25,20.327805588602093,16.87526619091943
special education,34,33,1,226,0.5621931208519816,32.75,46.742869741501224,43.65977490116711
education,46,38,8,179,0.7190519910811628,36.0,44.80802791236751,41.34054759355505
physical chemistry,21,1,20,238,1.2708949188982932,-4.0,3.081105835527646,1.5396797040616628
accounting,36,27,9,135,0.6339136953124314,24.75,30.279525506037217,29.453824848871328
electromagnetism,39,34,5,118,1.1937361541686216,32.75,43.8443003658,37.92416878796242
thermodynamics,26,6,20,38,0.8362803065115519,1.0,16.748048414464893,3.4299594520879992
robotics,32,6,26,201,0.848030233565718,-0.5,5.043799680554294,10.50055585112531
analytical chemistry,33,14,19,220,0.6063769618464286,9.25,20.356002539358308,18.465908769269983
education,43,18,25,42,1.3380573233394988,11.75,17.544112649292984,10.294783159884087
compiler design,39,31,8,219,0.7832060539352117,29.0,48.75870338943551,41.44498350818257
trigonometry,43,43,0,176,0.8489966399908664,43.0,62.38781130675343,48.34484615410426
business administration,23,9,14,130,1.1759657874225595,5.5,13.76731513967737,8.559105945111286
literature,41,12,29,67,0.7671133839004874,4.75,21.829937388772176,5.937430169968273
media studies,14,9,5,186,1.3465363016685892,7.75,12.782607852256849,13.585511383311385
statistics,19,14,5,169,0.9753159304786184,12.75,23.657461621432333,19.969623805350988
earth science,30,11,19,20,1.2774428525307913,6.25,17.054311949962795,5.759539196149799
history,50,20,30,68,0.8890897943230262,12.5,17.50915793299383,12.606611966338845
molecular biology,38,8,30,185,1.2557379425095747,0.5,11.102524845480243,5.729811117723228
graphic design,17,0,17,184,1.1489030024294133,-4.25,6.114852830517414,3.1671967620969097
chemistry,27,9,18,51,0.6144446368787992,4.5,19.220636312355783,8.243869837552754
nursing,26,23,3,160,1.4211916217779814,22.25,32.603337947091134,27.51095787218155
compiler design,22,10,12,180,0.6122541254828223,7.0,24.39588694842881,12.085478506538086
biology,37,9,28,129,1.0688807900997166,2.0,20.867534591787646,7.743416543384388
entrepreneurship,20,9,11,91,1.3766831057830127,6.25,21.09447658384716,7.107799365022325
calculus,46,26,20,38,1.4571151841208012,21.0,40.70631422753024,20.833965852843182
organic chemistry,42,10,32,32,0.5128271646762543,2.0,16.752394304206252,1.668328594619859
political science,14,2,12,211,1.2711662035162457,-1.0,4.726029112209555,9.045946028579978
fashion design,38,21,17,170,0.5477947325896143,16.75,26.717006746221927,27.341012906989512
visual arts,29,17,12,237,0.9282959401850033,14.0,33.75146627247018,20.429045214143166
operating systems,12,12,0,172,1.1264873603547825,12.0,31.506344603449854,17.44769859079687
journalism,34,25,9,199,1.3273968205407312,22.75,39.76110897621533,31.545586304523322
linguistics,41,35,6,194,1.2885693612292535,33.5,49.199883349847255,36.32891131228608
pedagogy,12,11,1,95,1.2854931175228923,10.75,25.972758688123093,14.996575912333851
visual arts,36,27,9,206,1.4071582966637997,24.75,32.34383091768504,28.455835841199608
nutrition,43,40,3,65,0.9126442541656282,39.25,51.592133075248,40.12730977725379
law,11,1,10,51,0.6672981378133589,-1.5,15.209430660127005,0.5330855701640567
linear algebra,25,15,10,126,1.2768564893570669,12.5,22.40426127648002,16.361408999825517
early childhood education,15,8,7,156,0.9956063308436808,6.25,18.956589190818836,9.939637695234845
web development,22,14,8,119,1.4768792166290514,12.0,17.32330949490163,17.204231932466328
industrial design,13,0,13,156,1.386139563126179,-3.25,2.5920432660325803,3.44458123440374
graphic design,48,15,33,189,0.6701021150601929,6.75,16.95013498081386,18.61125950126954
molecular biology,31,31,0,87,0.6281309151835736,31.0,36.36335690817724,32.00386132329728
biology,37,7,30,190,1.1673119752437453,-0.5,12.575699473353422,1.4661272522272628
classical mechanics,19,19,0,25,1.3381100843336795,19.0,36.744268550709876,17.74391238084765
nursing,41,39,2,230,0.8483787354765991,38.5,56.21167502123003,45.826571256360374
creative writing,15,11,4,90,0.6714885627732654,10.0,20.374994977833566,10.493010278616696
architecture,16,7,9,109,0.7161025883559776,4.75,10.790260141230997,8.540146287815428
discrete math,17,12,5,224,0.8121416630394082,10.75,24.280937770944824,23.7067485422717
nanotechnology,41,8,33,19,1.3261893765833883,-0.25,5.193427905541377,0.0
database systems,18,9,9,47,0.9566588619213076,6.75,24.949170497455356,6.857125020123059
thermodynamics,36,21,15,188,0.7296941008059054,17.25,28.455379286937593,27.744357351450667
history,14,13,1,165,0.9334849694926833,12.75,22.136235134519126,17.383555073952795
operating systems,14,5,9,191,1.3766645139348224,2.75,21.97929430282882,10.552846950491638
environmental science,29,13,16,228,1.3205999941855304,9.0,19.56450454950038,13.778481217123076
graphic design,20,8,12,208,1.140087549566574,5.0,22.394586130809053,12.036886622962198
linguistics,37,9,28,21,0.8204364706838039,2.0,12.148757902482314,2.6905149695832353
oceanography,15,7,8,157,0.8409886641633891,5.0,21.196347831696926,7.632598994508047
electromagnetism,45,36,9,218,0.7568714206418358,33.75,47.382461874604466,38.52323376642979
political science,19,18,1,176,1.2767281591746742,17.75,35.20781138929952,21.222134294238174
robotics,30,22,8,115,0.5036929572284893,20.0,30.811716860753005,26.411413890713717
analytical chemistry,21,1,20,21,0.5544971608055261,-4.0,2.271905280992466,0.0
literature,42,29,13,189,1.2263189634780733,25.75,37.74915474020969,31.64042552544558
fashion design,15,8,7,206,0.9978190270795979,6.25,22.349277187748065,16.07986538741345
optics,42,42,0,19,0.7783838274030375,42.0,61.91721933175146,40.28788823380296
genetics,12,7,5,171,1.366158855630267,5.75,14.66294725058559,11.341468422396424
nanotechnology,42,17,25,154,0.6323281502654229,10.75,30.207083203093823,17.208747972487426
physical chemistry,42,40,2,99,0.708266974905262,39.5,52.50146271263263,41.69314438144619
cyber security,12,6,6,103,0.6193660837374156,4.5,14.458282858473682,8.759958747843662
economics,31,14,17,94,0.9304948374544394,9.75,26.34871003227267,13.328646475771048
geometry,46,41,5,225,1.2596210074690237,39.75,53.89209586332761,51.6574973468204
fashion design,44,34,10,145,0.982474650977237,31.5,48.871531676423245,34.14594831271215
translation studies,34,29,5,122,0.6447886348624992,27.75,45.652237560545146,32.9000200228393
data science,31,21,10,134,0.5367111998518554,18.5,27.98081236234607,24.212278099735368
trigonometry,32,7,25,91,0.539434469620548,0.75,5.881783690994225,2.8517473341910144
human resources,21,16,5,44,1.1877716651794452,14.75,34.460125679834746,14.100892732762059
curriculum studies,31,15,16,66,1.2770844161707373,11.0,20.355579048036276,9.783244596049697
nanotechnology,34,30,4,97,1.1791304969967182,29.0,42.2125591299901,32.018361681651484
networking,48,7,41,155,0.8461007170521315,-3.25,12.027000904692311,0.9986461490726541
education,15,9,6,225,1.2628805700509815,7.5,14.357372846022717,14.62563078138843
linguistics,26,7,19,196,0.8423553993786844,2.25,13.858653871405025,12.31886624892713
physical chemistry,44,25,19,120,0.6654003407910386,20.25,27.50562712615622,25.381426029324214
political science,44,4,40,74,0.6464559191028533,-6.0,0.7513792445529166,0.0
biochemistry,39,7,32,206,1.0519912174141954,-1.0,10.309425625776235,2.8862326827624862
media studies,12,9,3,206,1.363693251081921,8.25,17.132633320695156,16.30785754647462
literature,34,13,21,189,0.6808724908168595,7.75,15.751391301879764,12.323739924721002
trigonometry,16,9,7,140,1.156987466173752,7.25,20.750292112929827,14.276713329248356
business administration,19,1,18,74,1.16665848291512,-3.5,15.53172520500501,0.0
international relations,46,12,34,187,0.513602474824119,3.5,15.481065158202728,10.805466728363644
political science,47,42,5,99,1.1681292738771358,40.75,52.35686642388147,44.32524744057134
genetics,22,5,17,184,0.5442079250135354,0.75,7.089130490052844,7.429862868251693
networking,39,16,23,194,1.0741161442004419,10.25,30.12170523626151,16.609081726394493
machine learning,47,12,35,138,0.7036626408430423,3.25,8.407552145895128,8.56467521538115
veterinary science,47,31,16,33,1.4313411389648072,27.0,45.83920678073227,27.528386492915097
health science,26,12,14,58,0.7138004586399269,8.5,17.890338326342437,10.125524592900966
earth science,35,1,34,181,0.7896960742098724,-7.5,5.213980278216031,3.6768947979630804
biology,43,27,16,155,1.1639224155302137,23.0,31.786693976944598,24.700100928561668
translation studies,14,1,13,119,1.2864924955523813,-2.25,11.153814879496904,2.1062817715236375
mobile development,32,0,32,40,1.1255160351291664,-8.0,9.440567409902865,0.0
linear algebra,46,46,0,63,0.7241884635774415,46.0,65.85041829075125,46.132128252168016
pedagogy,10,9,1,135,1.2966182058922757,8.75,14.770689933048804,13.146846628583344
graphic design,48,32,16,92,1.251201468875842,28.0,38.34058915260549,28.60171690871431
astrophysics,34,12,22,205,1.241463931468128,6.5,18.438575564772293,15.927367771085521
data science,36,28,8,105,1.0437007033019863,26.0,37.90172231952318,29.307866259782205
nanotechnology,40,29,11,212,1.297154425885143,26.25,33.34703792312339,33.40844729757966
earth science,44,5,39,199,1.0676004887322668,-4.75,5.419533224094312,4.463335030278804
optics,27,2,25,134,1.1251546327184365,-4.25,11.717989578208584,2.686131872776894
web development,45,8,37,60,1.2366900724447736,-1.25,10.308392564274769,1.2447182273219468
anatomy,13,2,11,85,1.3659356498946167,-0.75,17.91392834602111,1.3328400178104203
electromagnetism,14,13,1,64,1.338031550933039,12.75,27.060518841155403,11.725265363626109
discrete math,16,4,12,207,0.8014569417470758,1.0,14.40909162684589,11.422305371490031
biochemistry,38,31,7,151,0.6685215555270835,29.25,35.95290725396835,34.88734965780876
machine learning,48,29,19,141,1.4028891023203904,24.25,29.28593030153037,32.504743630214
finance,40,34,6,46,0.5634042760630578,32.5,50.61224966142663,33.55025815287026
veterinary science,42,33,9,234,1.3275399196220417,30.75,47.68849699983908,45.06067821255499
business administration,32,24,8,13,0.6065596030966085,22.0,39.45470942568535,20.940884549232255
environmental science,15,5,10,205,1.3450602152784368,2.5,17.927649805243803,12.482165042221792
sociology,39,1,38,133,1.4623594813131389,-8.5,7.317717429255385,0.0
anatomy,28,0,28,168,0.5736046016051874,-7.0,8.66702546931659,0.0
classical mechanics,29,8,21,12,0.642788864285675,2.75,11.24136034047174,3.1411210996718584
finance,11,4,7,196,1.000236469709577,2.25,12.438378562339883,8.703844428465345
translation studies,43,42,1,182,0.8583734812932067,41.75,55.76245314762452,50.46243514626547
astrophysics,46,19,27,206,0.567026337348457,12.25,23.977308148684294,15.772910034691948
robotics,24,19,5,125,0.9239291716574696,17.75,35.770052105618234,23.27563370662431
math,34,8,26,237,1.0295481033761122,1.5,12.568010889249678,12.371621477030162
molecular biology,25,23,2,54,1.1171063198378623,22.5,30.385679408557124,21.354134189616506
dentistry,16,10,6,101,1.3840995380086687,8.5,14.033484713795652,10.849990555207558
astronomy,46,42,4,123,1.1276842788852182,41.0,46.580672547941475,44.39161017801641
evolution,41,6,35,91,1.0073040194202303,-2.75,13.090160642403168,0.0
urban planning,44,28,16,232,1.2357407687154367,24.0,32.08372773686453,29.971661351747557
earth science,36,33,3,104,0.8059237334514545,32.25,43.946746938158604,35.726667411933796
history,26,6,20,207,1.2307426985868748,1.0,18.58169259317725,12.915551934472917
health science,37,14,23,209,1.4668042218407078,8.25,24.70506849069242,17.10892305003971
pedagogy,14,9,5,62,0.7608701525807808,7.75,22.050462507542804,9.899588907408347
veterinary science,39,3,36,81,1.2838944873144595,-6.0,12.672794738303551,0.0
